I
810 - data manually written by Atharv Garg (MarkVI2). Please email (mark.atharv@gmail.com) or discord (Atharv Garg#5966) for any inquiries

3  13.20649700  077.73090300   3000 11230 195   -1.0 BIA  Bangalore VOR-DME
4  13.20716100  077.68607200   3002 10930  18      91.434 IBAN VOBL 09L ILS-cat-I
4  13.18973300  077.68997800   2973 10990  18      91.437 IBLN VOBL 09R ILS-cat-III
4  13.20684700  077.72296900   2919 10830  18     271.443 IDEV VOBL 27R ILS-cat-I
4  13.18941400  077.72687200   2964 11150  18     271.445 IDVN VOBL 27L ILS-cat-III
6  13.20716100  077.68607200   3002 10930  10  300091.434 IBAN VOBL 09L GS
6  13.18973300  077.68997800   2973 10990  10  300091.447 IBLN  VOBL 09R GS
6  13.20684700  077.72296900   2919 10830  10  300271.443 IDEV  VOBL 27R GS
6  13.18941400  077.72687200   2964 11150  10  300271.445 IDVN  VOBL 27L GS
12  13.20649700  077.73090300   3000 11230 195    0.0 BIA  Bangalore VOR-DME
12  13.20716100  077.68607200   3002 10930  18      91.434 IBAN VOBL 09L DME-ILS
12  13.18973300  077.68997800   2973 10990  18      91.437 IBLN VOBL 09R DME-ILS
12  13.20684700  077.72296900   2919 10830  18     271.443 IDEV VOBL 27R DME-ILS
12  13.18941400  077.72687200   2964 11150  18     271.445 IDVN VOBL 27L DME-ILS

